#Campo Campo NPCSG00
Aedona Aedona NPFS000
Aegla Aegla NPFS000
Aemiliana Aemiliano NPFS000
Aemiliano Aemiliano NPMS000
Aeropa Aeropa NPFS000
Aerosmith Aerosmith NPMPO00
Afavaca Afavaca NPFS000
Afeca Afeca NPFS000
Afeganistão Afeganistão NPMSG00
Afife Afife NPCSG00
Afonsim Afonsim NPCSG00
Afonso Afonso NPMS000
Afonso Afonso NPMSS00
Afonsoeiro Afonsoeiro NPCSG00
Afrodite Afrodite NPFS000
Afrodite Afrodite NPFSS00
Afrodísia Afrodísio NPFS000
Afrodísio Afrodísio NPMS000
Afrânia Afrânio NPFS000
Afrânio Afrânio NPMS000
Afsana Afsana NPFS000
Agadão Agadão NPCSG00
Agapita Agapito NPFS000
Agapito Agapito NPMS000
Agar Agar NPFSSP0
Agaricales Agaricales NPCS000
Agaricomycetes Agaricomycetes NPCS000
Agaricomycetidae Agaricomycetidae NPCS000
Agaricomycotina Agaricomycotina NPCS000
Agatão Agatão NPMS000
Agda Agda NPFS000
Agilberta Agilberto NPFS000
Agilberto Agilberto NPMS000
Agilda Agildo NPFS000
Agilde Agilde NPCSG00
Agildo Agildo NPMS000
Aginalda Aginaldo NPFS000
Aginaldo Aginaldo NPMS000
Aglea Aglea NPFS000
Agliberta Agliberto NPFS000
Agliberto Agliberto NPMS000
Agnalda Agnaldo NPFS000
Agnaldo Agnaldo NPMS000
Agnola Agnolo NPFS000
Agnolo Agnolo NPMS000
Agostina Agostina NPFS000
Agostinho Agostinho NPMS000
Agostinho Agostinho NPMSS00
Agostinhos Agostinhos NPMS000
Agostinhos Agostinhos NPMSS00
Agra Agra NPFSG00
Agra Agra NPMSG00
Agraciana Agraciana NPFS000
Agraço Agraço NPMSG00
Agrela Agrela NPCSG00
Agricolândia Agricolândia NPFS000
Agripa Agripa NPMSSP0
Agripina Agripina NPFSSP0
Agrobacterium Agrobacterium NPCS000
Agrobom Agrobom NPCSG00
Agrochão Agrochão NPCSG00
Agrolândia Agrolândia NPFS000
Agrécia Agrécio NPFS000
Agrécio Agrécio NPMS000
Agualonga Agualonga NPCSG00
Agualva Agualva NPCSG00
Agualva-Cacém Agualva-Cacém NPCSG00
Aguda Aguda NPCSG00
Aguiar Aguiar NPCSG00
Aguiar Aguiar NPMS000
Aguiar Aguiar NPMSS00
Aguiberta Aguiberto NPFS000
Aguiberto Aguiberto NPMS000
Aguidinha Aguidinha NPFS000
Aguieira Aguieira NPCSG00
Aguieiras Aguieiras NPCSG00
Aguim Aguim NPCSG00
Aguinalda Aguinaldo NPFS000
Aguinaldo Aguinaldo NPMS000
Aguiã Aguiã NPCSG00
Aguçadoura Aguçadoura NPCSG00
Agápia Agápio NPFS000
Agápio Agápio NPMS000
Agília Agílio NPFS000
Agílio Agílio NPMS000
Aida Aida NPFSSP0
Aila Aila NPFS000
Aimão Aimão NPMS000
Aiquara Aiquara NPFS000
Aires Aires NPMSS00
Airport Airport NPFS000
Airães Airães NPCSG00
Airó Airó NPCSG00
Aiuruoca Aiuruoca NPFS000
Aix-en-Provence Aix-en-Provence NPMSG00
Aix-la-Chapelle Aix-la-Chapelle NPMSG00
Aião Aião NPCSG00
Ajuda Ajuda NPCSG00
Ajude Ajude NPCSG00
Ajuricaba Ajuricaba NPFS000
Al-Qaeda Al-Qaeda NPFS000
Ala Ala NPCSG00
Alagoa Alagoa NPCSG00
Alagoas Alagoas NPMSG00
Alagoinha Alagoinha NPFS000
Alaiana Alaiana NPFS000
Alandroal Alandroal NPCSG00
Alandroal Alandroal NPMSG00
Alarico Alarico NPMS000
Alarico Alarico NPMSS00
Alasca Alasca NPMSG00
Alba Alba NPFS000
Alba Alba NPFSS00
Albano Albano NPMS000
Albano Albano NPMSS00
Albardo Albardo NPCSG00
Albarina Albarino NPFS000
Albarino Albarino NPMS000
Albergaria-a-Nova Albergaria-a-Nova NPFSG00
Albergaria-a-Nova Albergaria-a-Nova NPMSG00
Albergaria-a-Velha Albergaria-a-Velha NPCSG00
Albergaria-a-Velha Albergaria-a-Velha NPFSG00
Albergaria-a-Velha Albergaria-a-Velha NPMSG00
Albernoa Albernoa NPCSG00
Albert Albert NPMSS00
Albertana Albertano NPFS000
Albertano Albertano NPMS000
Albertina Albertina NPFS000
Albertina Albertina NPFSS00
Albertino Albertino NPMS000
Albertino Albertino NPMSS00
Alberto Alberto NPMS000
Alberto Alberto NPMSS00
Alberícia Alberício NPFS000
Alberício Alberício NPMS000
Albino Albino NPMS000
Albino Albino NPMSS00
Alboína Alboíno NPFS000
Alboíno Alboíno NPMS000
Albufeira Albufeira NPCSG00
Albufeira Albufeira NPFSG00
Albukamal Albukamal NPFSG00
Albuquerque Albuquerque NPMSG00
Alburitel Alburitel NPCSG00
Albânia Albânia NPFSG00
Albérica Albérico NPFS000
Albérico Albérico NPMS000
Albília Albílio NPFS000
Albílio Albílio NPMS000
Alcabideche Alcabideche NPCSG00
Alcabideche Alcabideche NPFSG00
Alcafache Alcafache NPCSG00
Alcafozes Alcafozes NPCSG00
Alcaide Alcaide NPCSG00
Alcains Alcains NPCSG00
Alcandra Alcandro NPFS000
Alcandro Alcandro NPMS000
Alcanede Alcanede NPCSG00
Alcanena Alcanena NPCSG00
Alcanena Alcanena NPFSG00
Alcanena Alcanena NPMSG00
Alcanhões Alcanhões NPCSG00
Alcantarilha Alcantarilha NPCSG00
