	BR	PT
eletrobiológico/electrobiológico	eletrobiológico	eletrobiológico
eletrobomba/electrobomba	eletrobomba	eletrobomba
eletrocardiografia/electrocardiografia	eletrocardiografia	eletrocardiografia
eletrocardiográfico/electrocardiográfico	eletrocardiográfico	eletrocardiográfico
eletrocardiógrafo/electrocardiógrafo	eletrocardiógrafo	eletrocardiógrafo
eletrocardiograma/electrocardiograma	eletrocardiograma	eletrocardiograma
eletrochoque/electrochoque	eletrochoque	eletrochoque
eletrocinética/electrocinética	eletrocinética	eletrocinética
eletrocinético/electrocinético	eletrocinético	eletrocinético
eletrocirurgia/electrocirurgia	eletrocirurgia	eletrocirurgia
eletrocoagulação/electrocoagulação	eletrocoagulação	eletrocoagulação
eletrocultura/electrocultura	eletrocultura	eletrocultura
eletrocussão/electrocussão	eletrocussão	eletrocussão
eletrocutado/electrocutado	eletrocutado	eletrocutado
eletrocutar/electrocutar	eletrocutar	eletrocutar
eletrocutir/electrocutir	eletrocutir	eletrocutir
eletrocutor/electrocutor	eletrocutor	eletrocutor
eletrodeposição/electrodeposição	eletrodeposição	eletrodeposição
eletrodiagnóstico/electrodiagnóstico	eletrodiagnóstico	eletrodiagnóstico
eletrodiálise/electrodiálise	eletrodiálise	eletrodiálise
eletrodinâmica/electrodinâmica	eletrodinâmica	eletrodinâmica
eletrodinâmico/electrodinâmico	eletrodinâmico	eletrodinâmico
eletrodinamismo/electrodinamismo	eletrodinamismo	eletrodinamismo
eletródio/electródio	eletródio	electródio
elétrodo/eléctrodo	elétrodo	eléctrodo
eletrodoméstico/electrodoméstico	eletrodoméstico	eletrodoméstico
eletroencefalografia/electroencefalografia	eletroencefalografia	eletroencefalografia
eletroencefalográfico/electroencefalográfico	eletroencefalográfico	eletroencefalográfico
eletroencefalógrafo/electroencefalógrafo	eletroencefalógrafo	eletroencefalógrafo
eletroencefalograma/electroencefalograma	eletroencefalograma	eletroencefalograma
eletrófilo/electrófilo	eletrófilo	electrófilo
eletrofisiologia/electrofisiologia	eletrofisiologia	eletrofisiologia
eletrofisiológico/electrofisiológico	eletrofisiológico	eletrofisiológico
eletrofone/electrofone	eletrofone	eletrofone
eletroforese/electroforese	eletroforese	eletroforese
eletroformação/electroformação	eletroformação	eletroformação
eletróforo/electróforo	eletróforo	electróforo
eletrofotografia/electrofotografia	eletrofotografia	eletrofotografia
eletrofotográfico/electrofotográfico	eletrofotográfico	eletrofotográfico
eletrogalvânico/electrogalvânico	eletrogalvânico	eletrogalvânico
eletrogalvanismo/electrogalvanismo	eletrogalvanismo	eletrogalvanismo
eletrogenético/electrogenético	eletrogenético	eletrogenético
eletrógeno/electrógeno	eletrógeno	electrógeno
eletrogerador/electrogerador	eletrogerador	eletrogerador
eletrografia/electrografia	eletrografia	eletrografia
eletrográfico/electrográfico	eletrográfico	eletrográfico
eletrógrafo/electrógrafo	eletrógrafo	electrógrafo
eletrolisação/electrolisação	eletrolisação	eletrolisação
eletrolisador/electrolisador	eletrolisador	eletrolisador
eletrolisar/electrolisar	eletrolisar	eletrolisar
eletrolisável/electrolisável	eletrolisável	eletrolisável
eletrólise/electrólise	eletrólise	electrólise
eletrolítico/electrolítico	eletrolítico	eletrolítico
eletrólito/electrólito	eletrólito	electrólito
eletrologia/electrologia	eletrologia	eletrologia
eletrológico/electrológico	eletrológico	eletrológico
eletroluminescência/electroluminescência	eletroluminescência	eletroluminescência
eletroluminescente/electroluminescente	eletroluminescente	eletroluminescente
eletromagnete/electromagnete	eletromagnete	eletromagnete
eletromagnético/electromagnético	eletromagnético	eletromagnético
eletromagnetismo/electromagnetismo	eletromagnetismo	eletromagnetismo
eletromecânica/electromecânica	eletromecânica	eletromecânica
eletromecânico/electromecânico	eletromecânico	eletromecânico
eletromeopatia/electromeopatia	eletromeopatia	eletromeopatia
eletrometalurgia/electrometalurgia	eletrometalurgia	eletrometalurgia
eletrometalúrgico/electrometalúrgico	eletrometalúrgico	eletrometalúrgico
eletrometria/electrometria	eletrometria	eletrometria
eletrométrico/electrométrico	eletrométrico	eletrométrico
eletromiografia/electromiografia	eletromiografia	eletromiografia
eletromiograma/electromiograma	eletromiograma	eletromiograma
eletromotor/electromotor	eletromotor	eletromotor
eletromotriz/electromotriz	eletromotriz	eletromotriz
eletromóvel/electromóvel	eletromóvel	eletromóvel
elétron/eléctron	elétron	eléctron
eletronegatividade/electronegatividade	eletronegatividade	eletronegatividade
eletronegativo/electronegativo	eletronegativo	eletronegativo
eletronicamente/electronicamente	eletronicamente	eletronicamente
eletropexia/electropexia	eletropexia	eletropexia
eletropositividade/electropositividade	eletropositividade	eletropositividade
eletropositivo/electropositivo	eletropositivo	eletropositivo
eletroquímica/electroquímica	eletroquímica	eletroquímica
eletroquímico/electroquímico	eletroquímico	eletroquímico
eletrorradiologia/electrorradiologia	eletrorradiologia	eletrorradiologia
eletrorradiologista/electrorradiologista	eletrorradiologista	eletrorradiologista
eletroscopia/electroscopia	eletroscopia	eletroscopia
eletroscópico/electroscópico	eletroscópico	eletroscópico
eletroscópio/electroscópio	eletroscópio	eletroscópio
eletrossemáforo/electrossemáforo	eletrossemáforo	eletrossemáforo
eletrosserra/electrosserra	eletrosserra	eletrosserra
eletrossiderurgia/electrossiderurgia	eletrossiderurgia	eletrossiderurgia
eletrossiderúrgico/electrossiderúrgico	eletrossiderúrgico	eletrossiderúrgico
eletrossoldadura/electrossoldadura	eletrossoldadura	eletrossoldadura
eletrostática/electrostática	eletrostática	eletrostática
eletrostático/electrostático	eletrostático	eletrostático
eletrostrição/electrostrição	eletrostrição	eletrostrição
eletrotanásia/electrotanásia	eletrotanásia	eletrotanásia
eletrotecnia/electrotecnia	eletrotecnia	eletrotecnia
eletrotécnica/electrotécnica	eletrotécnica	eletrotécnica
eletrotécnico/electrotécnico	eletrotécnico	eletrotécnico
eletroterapeuta/electroterapeuta	eletroterapeuta	eletroterapeuta
eletroterapêutica/electroterapêutica	eletroterapêutica	eletroterapêutica
eletroterapêutico/electroterapêutico	eletroterapêutico	eletroterapêutico
eletroterapia/electroterapia	eletroterapia	eletroterapia
eletroterápico/electroterápico	eletroterápico	eletroterápico
eletrotermia/electrotermia	eletrotermia	eletrotermia
eletrotérmico/electrotérmico	eletrotérmico	eletrotérmico
eletrotipia/electrotipia	eletrotipia	eletrotipia
eletrotípico/electrotípico	eletrotípico	eletrotípico
eletrótipo/electrótipo	eletrótipo	eletrótipo
eletrotropia/electrotropia	eletrotropia	eletrotropia
eletrotrópico/electrotrópico	eletrotrópico	eletrotrópico
eletrotropismo/electrotropismo	eletrotropismo	eletrotropismo
eletrovalência/electrovalência	eletrovalência	eletrovalência
eletrovalente/electrovalente	eletrovalente	eletrovalente
eletrovital/electrovital	eletrovital	eletrovital
eletrovitalismo/electrovitalismo	eletrovitalismo	eletrovitalismo
enguia-elétrica/enguia-eléctrica	enguia-elétrica	enguia-elétrica
epilética/epiléptica	epiléptica	epilética
epilética/epiléptica	epilética	epilética
epilético/epiléptico	epiléptico	epilético
epilético/epiléptico	epilético	epilético
eretamente/erectamente	eretamente	eretamente
eretida/erectida	eretida	eretida
ereto/erecto	ereto	ereto
eretor/erector	eretor	eretor
esmético/esméctico	esmético	esmético
esplenenfrático/esplenenfráctico	esplenenfrático	esplenenfrático
esplenenfrático/esplenenfráctico	esplenenfráctico	esplenenfrático
esplenopético/esplenopéctico	esplenopéctico	esplenopético
esplenopético/esplenopéctico	esplenopético	esplenopético
estupefação/estupefacção	estupefação	estupefação
estupefator/estupefactor	estupefator	estupefator
eurocética/eurocéptica	eurocética	eurocética
euroceticismo/eurocepticismo	euroceticismo	euroceticismo
eurocético/eurocéptico	eurocético	eurocético
eurotimismo/europtimismo	eurotimismo	eurotimismo
eutático/eutáctico	eutático	eutático
exator/exactor	exator	exator
excecional/excepcional	excepcional	excecional
excecionalidade/excepcionalidade	excepcionalidade	excecionalidade
excecionalmente/excepcionalmente	excepcionalmente	excecionalmente
excecionar/excepcionar	excepcionar	excecionar
exceta/excepta	excepta	exceta
exceta/excepta	exceta	exceta
excetivo/exceptivo	excetivo	excetivo
exceto/excepto	exceto	exceto
excetuador/exceptuador	excetuador	excetuador
excetuar/exceptuar	excetuar	excetuar
excetuável/exceptuável	excetuável	excetuável
expetoração/expectoração	expectoração	expetoração
expetorante/expectorante	expectorante	expetorante
expetorar/expectorar	expectorar	expetorar
expetorar/expectorar	expetorar	expetorar
extratar/extractar	extratar	extratar
extrativo/extractivo	extrativo	extrativo
extrato/extracto	extrato	extrato
extrator/extractor	extrator	extrator
extratora/extractora	extratora	extratora
extrojeção/extrojecção	extrojeção	extrojeção
extrospeção/extrospecção	extrospecção	extrospeção
extrospetivo/extrospectivo	extrospectivo	extrospetivo
fação/facção	fação	fação
fator/factor	fator	fator
fator-chave/factor-chave	fator-chave	fator-chave
fatorial/factorial	fatorial	fatorial
fatorizar/factorizar	fatorizar	fatorizar
fatura/factura	fatura	fatura
ferrielétrico/ferrieléctrico	ferrielétrico	ferrielétrico
ferroelétrico/ferroeléctrico	ferroelétrico	ferroelétrico
filotático/filotáctico	filotáctico	filotático
filotático/filotáctico	filotático	filotático
flebopético/flebopéctico	flebopético	flebopético
fletido/flectido	flectido	fletido
fletido/flectido	fletido	fletido
fletir/flectir	flectir	fletir
fletir/flectir	fletir	fletir
fletor/flector	flector	fletor
fletor/flector	fletor	fletor
fonético-sintaticamente/fonético-sintacticamente	fonético-sintaticamente	fonético-sintaticamente
fonético-sintático/fonético-sintáctico	fonético-sintático	fonético-sintático
fotelétrico/foteléctrico	fotelétrico	fotelétrico
fotodielétrico/fotodieléctrico	fotodielétrico	fotodielétrico
fotoeletrão/fotoelectrão	fotoeletrão	fotoeletrão
fotoelétrico/fotoeléctrico	fotoelétrico	fotoelétrico
fotótico/fotóptico	fotótico	fotótico
fototático/fototáctico	fototáctico	fototático
fototático/fototáctico	fototático	fototático
fração/fracção	fração	fração
fracionamento/fraccionamento	fracionamento	fracionamento
fracionar/fraccionar	fracionar	fracionar
fracionário/fraccionário	fracionário	fracionário
fracionável/fraccionável	fracionável	fracionável
fraciúncula/fracciúncula	fraciúncula	fraciúncula
fratura/fractura	fratura	fratura
fraturamento/fracturamento	fraturamento	fraturamento
fraturar/fracturar	fraturar	fraturar
galvanotático/galvanotáctico	galvanotático	galvanotático
gastropético/gastropéctico	gastropéctico	gastropético
gastropético/gastropéctico	gastropético	gastropético
genufletir/genuflectir	genuflectir	genufletir
genufletir/genuflectir	genufletir	genufletir
genufletor/genuflector	genuflector	genuflector
genufletor/genuflector	genufletor	genufletor
genufletora/genuflectora	genuflectora	genufletora
genufletora/genuflectora	genufletora	genufletora
geotático/geotáctico	geotático	geotático
haptotático/haptoctático	haptotático	haptotático
heliotatismo/heliotactismo	heliotactismo	heliotatismo
heliotatismo/heliotactismo	heliotatismo	heliotatismo
hemiatático/hemiatáctico	hemiatático	hemiatático
hemotético/hemotéctico	hemotético	hemotético
hepatopético/hepatopéctico	hepatopético	hepatopético
heteroinfeção/heteroinfecção	heteroinfecção	heteroinfeção
heterorrético/heterorréctico	heterorrético	heterorrético
heterotático/heterotáctico	heterotáctico	heterotático
heterotático/heterotáctico	heterotático	heterotático
hidrelétrico/hidreléctrico	hidrelétrico	hidrelétrico
hidroelétrica/hidroeléctrica	hidroelétrica	hidroelétrica
hidroelétrico/hidroeléctrico	hidroelétrico	hidroelétrico
hidroextrator/hidroextractor	hidroextrator	hidroextrator
hidrofrático/hidrofráctico	hidrofrático	hidrofrático
hipercatalético/hipercataléctico	hipercataléctico	hipercatalético
hipercatalético/hipercataléctico	hipercatalético	hipercatalético
hipercataleto/hipercatalecto	hipercataleto	hipercataleto
hiperdialético/hiperdialéctico	hiperdialético	hiperdialético
hipereutético/hipereutéctico	hipereutético	hipereutético
hipeutético/hipeutéctico	hipeutético	hipeutético
hipotático/hipotáctico	hipotático	hipotático
histeropético/histeropéctico	histeropético	histeropético
holantártico/holantárctico	holantárctico	holantártico
holantártico/holantárctico	holantártico	holantártico
holárctico/holárctico	holárctico	holárctico
homeocatalético/homeocataléctico	homeocatalético	homeocatalético
homeocataleto/homeocatalecto	homeocatalecto	homeocataleto
homeocataleto/homeocatalecto	homeocataleto	homeocataleto
idielétrico/idieléctrico	idielétrico	idielétrico
idioelétrico/idioeléctrico	idioelétrico	idioelétrico
idioleto/idiolecto	idioleto	idioleto
imputrefação/imputrefacção	imputrefação	imputrefação
