Ortografia Antiga	Ortografia Nova
co-litigar	colitigar
co-logaritmo	cologaritmo
co-mediador	comediador
co-obrigado	coobrigado
co-obrigar	coobrigar
co-parceiro	coparceiro
co-participação	coparticipação
co-participante	coparticipante
co-participar	coparticipar
co-patrocinador	copatrocinador
co-piloto	copiloto
co-presidência	copresidência
co-presidente	copresidente
co-principado	coprincipado
co-príncipe	copríncipe
co-procurador	coprocurador
co-produção	coprodução
co-produtor	coprodutor
co-produtora	coprodutora
co-produzir	coproduzir
co-propriedade	copropriedade
co-proprietária	coproprietária
co-proprietário	coproprietário
co-protetor	coprotetor
co-ré	corré
co-redator	corredator
co-redenção	corredenção
co-redentor	corredentor
co-referência	correferência
co-referente	correferente
co-regência	corregência
co-responsabilidade	corresponsabilidade
co-responsabilização	corresponsabilização
co-responsabilizar	corresponsabilizar
co-responsável	corresponsável
co-réu	corréu
co-secante	cossecante
co-seno	cosseno
co-signatária	cossignatária
co-signatário	cossignatário
co-tangente	cotangente
co-texto	cotexto
co-tutela	cotutela
co-tutor	cotutor
co-tutora	cotutora
co-utente	coutente
co-variante	covariante
co-vendedor	covendedor
co-vidente	covidente
coanóide	coanoide
cóia	coia
cóio	coio
colete-de-forças	colete de forças
colmeia, colméia	colmeia
colóide	coloide
colorréico	colorreico
combóia	comboia
comboio, combóio	comboio
comida-de-urso	comida de urso
conchóide	conchoide
concóide	concoide
condilóide	condiloide
condróide	condroide
conóide	conoide
conquilióide	conquilioide
consangüíneo	consanguíneo
consangüinidade	consanguinidade
conseqüência	consequência
conseqüencial	consequencial
conseqüente	consequente
conseqüentemente	consequentemente
contigüidade	contiguidade
conto-da-carochinha	conto da carochinha
conto-do-vigário	conto do vigário
contra-assembléia	contra-assembleia
contra-édito	contraédito
contra-emboscada	contraemboscada
contra-emergentes	contraemergentes
contra-erva	contraerva
contra-escarpa	contraescarpa
contra-escritura	contraescritura
contra-espionagem	contraespionagem
contra-estai	contraestai
contra-estais	contraestais
contra-estimulação	contraestimulação
contra-estimulação	contraestimulação
contra-estimulante	contraestimulante
contra-estimular	contraestimular
contra-estimulismo	contraestimulismo
contra-estimulista	contraestimulista
contra-estímulo	contraestímulo
contra-indicação	contraindicação
contra-indicação	contraindicação
contra-indicado	contraindicado
contra-indicar	contraindicar
contra-informação	contrainformação
contra-informar	contrainformar
contra-interpelação	contrainterpelação
contra-interrogatório	contrainterrogatório
contra-ofensiva	contraofensiva
contra-oferta	contraoferta
contra-oitava	contraoitava
contra-ordem	contraordem
contra-ordenação	contraordenação
contra-ordenacional	contraordenacional
contra-ordenar	contraordenar
contra-rampa	contrarrampa
contra-rancho	contrarrancho
contra-rapante	contrarrapante
contra-rapantes	contrarrapantes
contra-regra	contrarregra
contra-regulador	contrarregulador
contra-relógio	contrarrelógio
contra-reparo	contrarreparo
contra-réplica	contrarréplica
contra-repto	contrarrepto
contra-resposta	contrarresposta
contra-retábulo	contrarretábulo
contra-revolta	contrarrevolta
contra-revolução	contrarrevolução
contra-revolucionar	contrarrevolucionar
contra-revolucionária	contrarrevolucionária
contra-revolucionário	contrarrevolucionário
contra-roda	contrarroda
contra-rotura	contrarrotura
contra-ruptura	contrarruptura
contra-safra	contrassafra
contra-seguro	contrasseguro
contra-selar	contrasselar
contra-selo	contrasselo
contra-senha	contrassenha
contra-senso	contrassenso
contra-significação	contrassignificação
contra-sinal	contrassinal
contra-sujeito	contrassujeito
contraescota	contraescota
contranatura	contranatura
convolvulóide	convolvuloide
coqueluchóide	coqueluchoide
cor-de-laranja	cor de laranja
cor-de-vinho	cor de vinho
coracóide	coracoide
coralóide	coraloide
coréia	coreia
coréico	coreico
corióide	corioide
coróide	coroide
coroidéia	coroideia
coronóide	coronoide
corpo-a-corpo	corpo a corpo
corregente	corregente
corticóide	corticoide
corticosteróide	corticosteroide
corvéia	corveia
cotilóide	cotiloide
couve-de-sabóia	couve-de-saboia
cova-do-ladrão	cova do ladrão
cranióide	cranioide
craniorréico	craniorreico
cravagem-do-centeio	cravagem do centeio
cretinóide	cretinoide
cricóide	cricoide
crinóide	crinoide
crioceróide	crioceroide
criptozóico	criptozoico
crisopéia	crisopeia
cristalóide	cristaloide
criticóide	criticoide
cróia	croia
crotalóide	crotaloide
ctenóide	ctenoide
cubóide	cuboide
cuiúba	cuiuba
cujubibóia	cujubiboia
cum-qüíbus	cum-quíbus
curral-de-trapiche	curral de trapiche
cururubóia	cururuboia
dacrioblenorréia	dacrioblenorreia
dacrióide	dacrioide
dacriorréia	dacriorreia
dacriorréico	dacriorreico
dactilóide	dactiloide
dactilozóide,datilozóide	dactilozoide, datilozoide
dança-de-são-vito	dança de São Vito
déia	deia
delfinóide	delfinoide
delinqüência	delinquência
delinqüencial	delinquencial
delinqüente	delinquente
delinqüir	delinquir
deliqüescência	deliquescência
deliqüescente	deliquescente
deliqüescer	deliquescer
deltóide	deltoide
dendróide	dendroide
dente-de-coelho	dente de coelho
dentes-de-lobo	dentes de lobo
dentes-de-serra	dentes de serra
dermatóide	dermatoide
dermatorréico	dermatorreico
dermóide	dermoide
desenjôo	desenjoo
desensangüentar	desensanguentar
desfreqüentado	desfrequentado
desfreqüentar	desfrequentar
desmilingüido	desmilinguido
desmóide	desmoide
desoxirribonucleico, desoxirribonucléico	desoxirribonucleico
dia-a-dia	dia a dia
diamantóide	diamantoide
diapnéia	diapneia
diapnóico	diapnoico
diarréia	diarreia
diarréico	diarreico
dicróico	dicroico
dióico	dioico
dionéia	dioneia
diplóico	diploico
diplóide	diploide
dipnóico	dipnoico
discóide	discoide
dismenorréia	dismenorreia
dismenorréico	dismenorreico
dispnéia	dispneia
dispnéico	dispneico
dolicóide	dolicoide
dorotéia	doroteia
dragéia	drageia
dragontéia	dragonteia
dulcinéia	dulcineia
ecoeficiência	ecoeficiência
ecóico	ecoico
ecotaxa	ecotaxa
edeoblenorréia	edeoblenorreia
edrioasteróides	edrioasteroides
egéia	egeia
elefantóide	elefantoide
eletroóptica, electroóptica	eletro-óptica, electro-óptica
eletroóptico, electroóptico	eletro-óptico, electro-óptico
elipsóide	elipsoide
elitróide	elitroide
elitrorréia	elitrorreia
eloqüência	eloquência
eloqüente	eloquente
embrióide	embrioide
encefalóide	encefaloide
endorréico	endorreico
enjôo	enjoo
ensangüentado	ensanguentado
ensangüentar	ensanguentar
enterozóico	enterozoico
enxadréia	enxadreia
enzóico	enzoico
eôo	eoo
Eozóico	Eozoico
epiciclóide	epicicloide
epicuréia	epicureia
epidermóide	epidermoide
epigéico	epigeico
epileptóide	epileptoide
epiplóico	epiploico
epiquéia	epiqueia
epitelióide	epitelioide
epizóico	epizoico
epopéia	epopeia
epopéico	epopeico
equícola, eqüícola	equícola
equidade, eqüidade	equidade
equídeo, eqüídeo	equídeo
equífero, eqüífero	equífero
equilátero, eqüilátero	equilátero
equino, eqüino	equino
equinóide	equinoide
Equinóides	Equinoides
equióide	equioide
eqüestre	equestre
eqüevo	equevo
eqüiangular	equiangular
eqüiângulo	equiângulo
Eqüídeos	Equídeos
eqüidiferença	equidiferença
eqüidiferente	equidiferente
eqüidilatado	equidilatado
eqüidistância	equidistância
eqüidistante	equidistante
eqüidistar	equidistar
eqüigranular	equigranular
eqüilateral	equilateral
eqüimolecular	equimolecular
eqüimolecularidade	equimolecularidade
eqüimultíplice	equimultíplice
eqüimúltiplo	equimúltiplo
eqüipendência	equipendência
eqüipendente	equipendente
eqüipolência	equipolência
eqüipolente	equipolente
eqüiponderância	equiponderância
eqüiponderante	equiponderante
eqüiponderar	equiponderar
eqüipotencial	equipotencial
eqüiprobabilismo	equiprobabilismo
eqüissetácea	equissetácea
eqüisseto	equisseto
eqüíssimo	equíssimo
eqüissonância	equissonância
eqüissonante	equissonante
eqüíssono	equíssono
eqüitativo	equitativo
eqüivalve	equivalve
eritemóide	eritemoide
eritréia	eritreia
eritróide	eritroide
esborôo	esboroo
escafóide	escafoide
escarlatinóide	escarlatinoide
escorpióide	escorpioide
esfenóide	esfenoide
esferóide	esferoide
espermatorréia	espermatorreia
espermatorréico	espermatorreico
espermatozóide	espermatozoide
espiróide	espiroide
esplenóide	esplenoide
espongióide	espongioide
espuma-do-mar	espuma do mar
esquistóide	esquistoide
esquizóide	esquizoide
estaminóide	estaminoide
esteatorréia	esteatorreia
esteleróide	esteleroide
esteróide	esteroide
estilóide	estiloide
estóica	estoica
estóico	estoico
estréia	estreia
estróina	estroina
estrongilóide	estrongiloide
etanodióico	etanodioico
etanóico	etanoico
etmóide	etmoide
etnodicéia	etnodiceia
etopéia	etopeia
eubóico	euboico
eunucóide	eunucoide
euplóide	euploide
eupnéia	eupneia
eupnéico	eupneico
européia	europeia
exeqüência	exequência
exeqüendo	exequendo
exeqüente	exequente
exeqüibilidade	exequibilidade
exeqüível	exequível
exigüidade	exiguidade
exigüificar	exiguificar
exorréico	exorreico
extra-escolar	extraescolar
extra-estatutário	extraestatutário
extra-europeu	extraeuropeu
extra-ocular	extraocular
extra-oficial	extraoficial
extra-oficialmente	extraoficialmente
extra-orgânico	extraorgânico
extra-regimental	extrarregimental
extra-regulamentar	extrarregulamentar
extra-secular	extrassecular
extra-sensível	extrassensível
extra-sensorial	extrassensorial
extra-sensorialidade	extrassensorialidade
extra-sístole	extrassístole
extra-sistólico	extrassistólico
extra-urbano	extraurbano
extra-uterino	extrauterino
faca-de-mato	faca de mato
facanéia	facaneia
facóide	facoide
factóide	factoide
falaciloqüente	falaciloquente
falóide	faloide
Fanerozóico	Fanerozoico
farinha-de-pau	farinha de pau
fariséia	fariseia
farmacopéia	farmacopeia
fascistóide	fascistoide
fato-de-banho	fato de banho
fato-de-macaco	fato de macaco
fato-de-saia-e-casaco	fato de saia e casaco
fato-de-treino	fato de treino
febre-de-malta	febre de Malta
febre-dos-fenos	febre dos fenos
febre-dos-três-dias	febre dos três dias
fecalóide	fecaloide
feculóide	feculoide
feiúra	feiura
feldspatóide	feldspatoide
ferro-de-engomar	ferro de engomar
ferro-de-romã	ferro de romã
ferropeia, ferropéia	ferropeia
fezes-de-ouro	fezes de ouro
fibróide	fibroide
ficóide	ficoide
filho-da-terra	filho da terra
filho-de-parida	filho de parida
filistéia	filisteia
filóide	filoide
filotraquéia	filotraqueia
fim-de-semana	fim de semana
fimatóide	fimatoide
fio-de-prumo	fio de prumo
fios-de-ovos	fios de ovos
fiscal-de-linha	fiscal de linha
fisóide	fisoide
fitóide	fitoide
flavonóide	flavonoide
flictenóide	flictenoide
flor-de-enxofre	flor de enxofre
focinho-de-tenca	focinho de tenca
fogo-de-artifício	fogo de artifício
fogo-de-bengala	fogo de Bengala
fogo-de-santelmo	fogo de Santelmo
fogo-de-santo-antão	fogo de Santo Antão
fogo-de-vista	fogo de vista
fogo-do-ar	fogo do ar
fóia	foia
fóide	foide
fóio	foio
folha-de-flandres	folha de Flandres
folhos-de-sinhá	folhos de sinhá
fora-da-lei	fora da lei
fora-de-jogo	fora de jogo
fradinho-da-mão-furada	fradinho da mão furada
fradinho-de-mão-furada	fradinho de mão furada
frente-a-frente	frente a frente
freqüência	frequência
freqüencímetro	frequencímetro
freqüentação	frequentação
freqüentador	frequentador
freqüentar	frequentar
freqüentativo	frequentativo
freqüentativo	frequentativo
freqüente	frequente
frutos-do-mar	frutos do mar
fucóide	fucoide
fula-de-gabu	fula de Gabu
funarióide	funarioide
furcróia	furcroia
fusóide	fusoide
gabróico	gabroico
gadóide	gadoide
gaibéia	gaibeia
gaita-de-beiços	gaita de beiços
gaita-de-foles	gaita de foles
gaiúta	gaiuta
galactóide	galactoide
galactorréia	galactorreia
galactorréico	galactorreico
galiléia	galileia
gamozóide	gamozoide
ganóide	ganoide
gás-dos-pântanos	gás dos pântanos
gaspóia	gaspoia
gastrepiplóico	gastrepiploico
gastroepiplóico	gastroepiploico
gastrorréia	gastrorreia
