#aciso acisa=A;src: LT;
#cadelo cadela=A;src: LT;
#coiso coisa=A;src: LT;
#espaço espaça=A;src: LT; unusual Brazil
#ninguém=A;src: LT; wrong?
#rui=A;src: LT; unusual
#turbo turba=A;src: LT;
abessim=A;src: LT;
abessino abessina=A;src: LT;
abestalhado abestalhada=A;src: LT;
abetardado abetardada=A;src: LT;
abetesgado abetesgada=A;src: LT;
abetumado abetumada=A;src: LT;
abetumador abetumadora=A;src: LT;
abexim=A;src: LT;
abezerrado abezerrada=A;src: LT;
abichado abichada=A;src: LT;
abideno abidena=A;src: LT;
abidense=A;src: LT;
abiegno abiegna=A;src: LT;
abietino abietina=A;src: LT;
abietíneo abietínea=A;src: LT;
abigarrado abigarrada=A;src: LT;
abigodado abigodada=A;src: LT;
abigornado abigornada=A;src: LT;
abileno abilena=A;src: LT;
abintestado abintestada=A;src: LT;
abiombado abiombada=A;src: LT;
abipão abipoa [pl. abipões]=A;src: LT;
abiqueirado abiqueirada=A;src: LT;
abirritante=A;src: LT;
abirritativo abirritativa=A;src: LT;
abirritável=A;src: LT;
abiscoitado abiscoitada=A;src: LT;
abiscoutador abiscoutadora=A;src: LT;
abismado abismada [sup. abismadíssimo]=A;src: LT;
abismador abismadora=A;src: LT;
abismal=A;src: LT;
abismoso abismosa=A;src: LT;
abismático abismática=A;src: LT;
abismável=A;src: LT;
abisonhado abisonhada=A;src: LT;
abispado abispada [sup. abispadíssimo]=A;src: LT;
abissal=A;src: LT;
abissínico abissínica=A;src: LT;
abissínio abissínia=A;src: LT;
abitinense=A;src: LT;
abitureirense=A;src: LT;
abiulense=A;src: LT;
abixeiro abixeira=A;src: LT;
abizantinado abizantinada=A;src: LT;
abiético abiética=A;src: LT;
abiótico abiótica=A;src: LT;
abjecionista=A;src: LT;
abjeto abjeta=A;src: LT;
abjudicador abjudicadora=A;src: LT;
abjudicante=A;src: LT;
abjudicável=A;src: LT;
abjugado abjugada=A;src: LT;
abjugativo abjugativa=A;src: LT;
abjuntivo abjuntiva=A;src: LT;
abjurado abjurada=A;src: LT;
abjurador abjuradora=A;src: LT;
abjurando abjuranda=A;src: LT;
abjurante=A;src: LT;
abjuratório abjuratória=A;src: LT;
abjurgatório abjurgatória=A;src: LT;
abjurável=A;src: LT;
ablamelar=A;src: LT;
ablaminar=A;src: LT;
ablativo ablativa=A;src: LT;
ablator ablatora=A;src: LT;
ablegado ablegada=A;src: LT;
ablegador ablegadora=A;src: LT;
ablegante=A;src: LT;
abliteiro abliteira=A;src: LT;
ablitense=A;src: LT;
ablocado ablocada=A;src: LT;
ablocador ablocadora=A;src: LT;
ablocável=A;src: LT;
abluente=A;src: LT;
ablutor ablutora=A;src: LT;
abléfaro abléfara=A;src: LT;
abléptico abléptica=A;src: LT;
abnegado abnegada [sup. abnegadíssimo]=A;src: LT;
abnegador abnegadora=A;src: LT;
abnegativo abnegativa=A;src: LT;
abnodoso abnodosa=A;src: LT;
abnormal=A;src: LT;
abnorme=A;src: LT;
abnóxio abnóxia=A;src: LT;
aboamado aboamada=A;src: LT;
abobadado abobadada=A;src: LT;
abobalhado abobalhada=A;src: LT;
abocado abocada=A;src: LT;
abocador abocadora=A;src: LT;
abocanhado abocanhada=A;src: LT;
abocanhador abocanhadora=A;src: LT;
abocanhante=A;src: LT;
abocetado abocetada=A;src: LT;
abochornado abochornada=A;src: LT;
abochornável=A;src: LT;
abodegado abodegada=A;src: LT;
aboio aboia=A;src: LT;
abolachado abolachada=A;src: LT;
abolado abolada=A;src: LT;
abolano abolana=A;src: LT;
aboleado aboleada=A;src: LT;
aboleimado aboleimada=A;src: LT;
aboletado aboletada=A;src: LT;
aboletador aboletadora=A;src: LT;
abolicionista=A;src: LT;
abolido abolida=A;src: LT;
abolidor abolidora=A;src: LT;
abolitivo abolitiva=A;src: LT;
abolitório abolitória=A;src: LT;
abolsado abolsada=A;src: LT;
abolível=A;src: LT;
abominado abominada=A;src: LT;
abominador abominadora=A;src: LT;
abominando abominanda=A;src: LT;
abominatório abominatória=A;src: LT;
abominoso abominosa=A;src: LT;
abominábil=A;src: LT;
abominável=A;src: LT;
abonado abonada [sup. abonadíssimo]=A;src: LT;
abonador abonadora=A;src: LT;
abonançado abonançada=A;src: LT;
abonançador abonançadora=A;src: LT;
abonativo abonativa=A;src: LT;
abonatário abonatária=A;src: LT;
abonatório abonatória=A;src: LT;
abonecado abonecada=A;src: LT;
abonável=A;src: LT;
aboquilhado aboquilhada=A;src: LT;
aboral=A;src: LT;
aborbulhado aborbulhada=A;src: LT;
aborcionista=A;src: LT;
abordado abordada [sup. abordadíssimo]=A;src: LT;
abordador abordadora=A;src: LT;
abordante=A;src: LT;
abordoado abordoada=A;src: LT;
abordável=A;src: LT;
aborigenado aborigenada=A;src: LT;
aborrascado aborrascada=A;src: LT;
aborrecedor aborrecedora=A;src: LT;
aborrecido aborrecida [sup. aborrecidíssimo]=A;src: LT;
aborrecível=A;src: LT;
aborregado aborregada=A;src: LT;
aborrido aborrida=A;src: LT;
aborrível=A;src: LT;
abortado abortada=A;src: LT;
abortivo abortiva=A;src: LT;
abortável=A;src: LT;
abortício abortícia=A;src: LT;
abortífero abortífera=A;src: LT;
aborígene=A;src: LT;
abostelado abostelada=A;src: LT;
abotijado abotijada=A;src: LT;
abotinado abotinada=A;src: LT;
abotoado abotoada=A;src: LT;
abotoador abotoadora=A;src: LT;
abotocado abotocada=A;src: LT;
abotoável=A;src: LT;
aboubado aboubada=A;src: LT;
abracadabrante=A;src: LT;
abracadabresco abracadabresca=A;src: LT;
abracadabrista=A;src: LT;
abracadábrico abracadábrica=A;src: LT;
abradado abradada=A;src: LT;
abrancado abrancada=A;src: LT;
abrancaçado abrancaçada=A;src: LT;
abrandado abrandada=A;src: LT;
abrandador abrandadora=A;src: LT;
abrandecedor abrandecedora=A;src: LT;
abrandável=A;src: LT;
abrangedor abrangedora=A;src: LT;
abrangente=A;src: LT;
abrangido abrangida=A;src: LT;
abrangível=A;src: LT;
abrantino abrantina=A;src: LT;
abraquiocefálico abraquiocefálica=A;src: LT;
abraquiocéfalo abraquiocéfala=A;src: LT;
abrasado abrasada [sup. abrasadíssimo]=A;src: LT;
abrasador abrasadora=A;src: LT;
abrasante=A;src: LT;
abraseado abraseada=A;src: LT;
abrasido abrasida=A;src: LT;
abrasileirado abrasileirada=A;src: LT;
abrasivo abrasiva=A;src: LT;
abrasonado abrasonada=A;src: LT;
abrasor abrasora=A;src: LT;
abrasável=A;src: LT;
abraâmico abraâmica=A;src: LT;
abraâmida=A;src: LT;
abraçadinho abraçadinha=A;src: LT;
abraçado abraçada [sup. abraçadíssimo]=A;src: LT;
abraçador abraçadora=A;src: LT;
abraçante=A;src: LT;
abraçável=A;src: LT;
abrejado abrejada=A;src: LT;
abrejeirado abrejeirada=A;src: LT;
abretanhado abretanhada=A;src: LT;
abreteno abretena=A;src: LT;
abretino abretina=A;src: LT;
abreugráfico abreugráfica=A;src: LT;
abreviado abreviada [sup. abreviadíssimo]=A;src: LT;
abreviador abreviadora=A;src: LT;
abreviativo abreviativa=A;src: LT;
abreviável=A;src: LT;
abrichado abrichada=A;src: LT;
abridor abridora=A;src: LT;
abrigado abrigada [sup. abrigadíssimo]=A;src: LT;
abrigador abrigadora=A;src: LT;
abrigável=A;src: LT;
abrilhantado abrilhantada [sup. abrilhantadíssimo]=A;src: LT;
abrilhantador abrilhantadora=A;src: LT;
abrilhantável=A;src: LT;
abrilino abrilina=A;src: LT;
abrincátuo abrincátua=A;src: LT;
abrocadado abrocadada=A;src: LT;
abroeirado abroeirada=A;src: LT;
abrolhado abrolhada=A;src: LT;
abrolhador abrolhadora=A;src: LT;
abrolhoso abrolhosa=A;src: LT;
abroncado abroncada=A;src: LT;
abronzeado abronzeada=A;src: LT;
abroquelado abroquelada=A;src: LT;
abrotanoide=A;src: LT;
abrotonóíde=A;src: LT;
abrumado abrumada [sup. abrumadíssimo]=A;src: LT;
abrunhal=A;src: LT;
abruptinérveo abruptinérvea=A;src: LT;
abruptipenado abruptipenada=A;src: LT;
abrupto abrupta=A;src: LT;
abrutado abrutada=A;src: LT;
abrutalhado abrutalhada [sup. abrutalhadíssimo]=A;src: LT;
abráquico abráquica=A;src: LT;
abráquio abráquia=A;src: LT;
abrânquio abrânquia=A;src: LT;
abrível=A;src: LT;
absalónico absalónica=A;src: LT;
abscedente=A;src: LT;
abscidente=A;src: LT;
abscindente=A;src: LT;
absconso absconsa=A;src: LT;
abscôndito abscôndita=A;src: LT;
absemelhante=A;src: LT;
absente=A;src: LT;
absenteísta=A;src: LT;
absentista=A;src: LT;
absidal=A;src: LT;
absintado absintada=A;src: LT;
absintiado absintiada=A;src: LT;
absintioso absintiosa=A;src: LT;
absintoso absintosa=A;src: LT;
absolutista=A;src: LT;
absolutivo absolutiva=A;src: LT;
absolutizante=A;src: LT;
absolutizável=A;src: LT;
absoluto absoluta=A;src: LT;
absolutório absolutória=A;src: LT;
absolvedor absolvedora=A;src: LT;
absolvente=A;src: LT;
absolvido absolvida=A;src: LT;
absolvível=A;src: LT;
absonante=A;src: LT;
absorbente=A;src: LT;
absorbível=A;src: LT;
absorciométrico absorciométrica=A;src: LT;
absorcionista=A;src: LT;
absortivo absortiva=A;src: LT;
absorto absorta=A;src: LT;
absorvedor absorvedora=A;src: LT;
absorvente=A;src: LT;
absorvido absorvida [sup. absorvidíssimo]=A;src: LT;
absorvível=A;src: LT;
abstencionista=A;src: LT;
abstencionístico abstencionística=A;src: LT;
abstergente=A;src: LT;
absterrâneo absterrânea=A;src: LT;
abstersivo abstersiva=A;src: LT;
absterso abstersa=A;src: LT;
abstido abstida=A;src: LT;
abstinente=A;src: LT;
abstracionista=A;src: LT;
abstraidor abstraidora=A;src: LT;
abstrativo abstrativa=A;src: LT;
abstratizado abstratizada=A;src: LT;
abstratizante=A;src: LT;
abstrato abstrata=A;src: LT;
abstrator abstratora=A;src: LT;
abstratício abstratícia=A;src: LT;
abstraído abstraída=A;src: LT;
abstrusivo abstrusiva=A;src: LT;
abstruso abstrusa=A;src: LT;
absurdista=A;src: LT;
absurdo absurda [sup. absurdíssimo]=A;src: LT;
absímile=A;src: LT;
absíntico absíntica=A;src: LT;
abuamado abuamada=A;src: LT;
abugrado abugrada=A;src: LT;
abundancial=A;src: LT;
abundante=A;src: LT;
abundoso abundosa=A;src: LT;
aburelado aburelada=A;src: LT;
aburguesado aburguesada [sup. aburguesadíssimo]=A;src: LT;
aburguesável=A;src: LT;
aburilado aburilada=A;src: LT;
abusado abusada=A;src: LT;
abusador abusadora=A;src: LT;
abusivo abusiva=A;src: LT;
abuzinado abuzinada=A;src: LT;
abziritano abziritana=A;src: LT;
abzoa=A;src: LT;
abádida=A;src: LT;
abásico abásica=A;src: LT;
abássida=A;src: LT;
abâncio abância=A;src: LT;
abíssico abíssica=A;src: LT;
abúlico abúlica=A;src: LT;
acabadinho acabadinha=A;src: LT;
acabadiço acabadiça=A;src: LT;
acabado acabada [sup. acabadíssimo]=A;src: LT;
acabador acabadora=A;src: LT;
acabadote=A;src: LT;
acabanado acabanada=A;src: LT;
acabante=A;src: LT;
acabaçado acabaçada=A;src: LT;
acaboclado acaboclada=A;src: LT;
acabotinado acabotinada=A;src: LT;
acabritado acabritada=A;src: LT;
acabrunhado acabrunhada [sup. acabrunhadíssimo]=A;src: LT;
acabrunhador acabrunhadora=A;src: LT;
acabrunhante=A;src: LT;
acaburro acaburra=A;src: LT;
acabável=A;src: LT;
acachapado acachapada=A;src: LT;
acachapador acachapadora=A;src: LT;
acachimbado acachimbada=A;src: LT;
acachoado acachoada=A;src: LT;
acachoante=A;src: LT;
acachoeirado acachoeirada=A;src: LT;
acaciano acaciana=A;src: LT;
academial=A;src: LT;
academicial=A;src: LT;
academizado academizada=A;src: LT;
academizante=A;src: LT;
academizável=A;src: LT;
acadiano acadiana=A;src: LT;
acadiense=A;src: LT;
acafajestado acafajestada=A;src: LT;
acafetado acafetada=A;src: LT;
acaico acaica=A;src: LT;
acaipirado acaipirada=A;src: LT;
acairelador acaireladora=A;src: LT;
acaixeirado acaixeirada=A;src: LT;
acaixilhado acaixilhada=A;src: LT;
acaixotado acaixotada=A;src: LT;
acaiçarado acaiçarada=A;src: LT;
acaju=A;src: LT;
acalcador acalcadora=A;src: LT;
acalcanhado acalcanhada=A;src: LT;
acalcário acalcária=A;src: LT;
acalcúlico acalcúlica=A;src: LT;
acalefo acalefa=A;src: LT;
acalefológico acalefológica=A;src: LT;
acalentado acalentada=A;src: LT;
acalentador acalentadora=A;src: LT;
acalentável=A;src: LT;
acalical=A;src: LT;
acalicino acalicina=A;src: LT;
acaliculado acaliculada=A;src: LT;
acalmado acalmada [sup. acalmadíssimo]=A;src: LT;
acalmador acalmadora=A;src: LT;
acalmante=A;src: LT;
acalmável=A;src: LT;
acalorado acalorada [sup. acaloradíssimo]=A;src: LT;
acamado acamada=A;src: LT;
acambado acambada=A;src: LT;
acambaiado acambaiada=A;src: LT;
acambetado acambetada=A;src: LT;
acambraiado acambraiada=A;src: LT;
acamelado acamelada=A;src: LT;
acamisado acamisada=A;src: LT;
acampado acampada=A;src: LT;
acampainhado acampainhada=A;src: LT;
acampanado acampanada=A;src: LT;
acampto acampta=A;src: LT;
acamptossomo acamptossoma=A;src: LT;
acamurçado acamurçada=A;src: LT;
acanalado acanalada=A;src: LT;
acanalador acanaladora=A;src: LT;
acanalhado acanalhada=A;src: LT;
acanalhador acanalhadora=A;src: LT;
acanalhante=A;src: LT;
acanastrado acanastrada=A;src: LT;
acanaveado acanaveada=A;src: LT;
acancelado acancelada=A;src: LT;
acancerado acancerada=A;src: LT;
acandilado acandilada=A;src: LT;
