Ortografia Antiga	Ortografia Nova
azóico	azoico
azulóio	azuloio
baba-de-camelo	baba de camelo
baba-de-moça	baba de moça
bairro-de-lata	bairro de lata
balanóide	balanoide
balão-de-ensaio	balão de ensaio
bálsamo-do-canadá	bálsamo do Canadá
balsamóide	balsamoide
banabóia	banaboia
baptismal	batismal
baptismo	batismo
baptista	batista
baptistério	batistério
baptistino	batistino
baptizado	batizado
baptizamento	batizamento
baptizando	batizando
baptizante	batizante
baptizar	batizar
baptizo	batizo
barba-de-baleia	barba de baleia
barca-de-ouro	barca de ouro
barotáctico	barotático
barriga-de-bicho	barriga de bicho
barriga-de-freira	barriga de freira
basiopinacóide	basiopinacoide
basipinacóide	basipinacoide
batracóide	batracoide
beijo-de-moça	beijo de moça
belemnóide	belemnoide
belonóide	belonoide
Beltrano	beltrano
benzóico	benzoico
beróide	beroide
betóia	betoia
bibliofiláctico	bibliofilático
bicaracterística	bicaracterística, bicaraterística
bicha-de-rabear	bicha de rabear
bicha-de-sete-cabeças	bicha de sete cabeças
bicho-de-sete-cabeças	bicho de sete cabeças
bicho-do-buraco	bicho do buraco
bicho-do-mato	bicho do mato
bicho-do-ouvido	bicho do ouvido
bico-de-gás	bico de gás
bico-de-gavião	bico de gavião
bico-de-mocho	bico de mocho
bico-de-obra	bico de obra
bico-de-pato	bico de pato
bidireccional	bidirecional
bife-de-caneca	bife de caneca
bijecção	bijeção
bilhete-de-identidade	bilhete de identidade
bilhete-de-visita	bilhete de visita
bioactividade	bioatividade
bioactivo	bioativo
biobjectividade	biobjetividade
biobjectivo	biobjetivo
biocolóide	biocoloide
bioelectricidade	bioeletricidade
bioeléctrico	bioelétrico
bioflavonóide	bioflavonoide
biotáctico	biotático
birreactor	birreator
birrefracção	birrefração
bissector	bissetor, bissector
bissectriz	bissetriz
bissóide	bissoide
blastóides	blastoides
boca-de-favas	boca de favas
boca-de-fogo	boca de fogo
boca-de-incêndio	boca de incêndio
boca-de-sino	boca de sino
boca-de-siri	boca de siri
bóia	boia
bóia-fria	boia-fria
boioçubóia	boioçuboia
bola-ao-cesto	bola ao cesto
bom-de-bico	bom de bico
bota-de-elástico	bota de elástico
botrióide	botrioide
braço-de-armas	braço de armas
braço-de-ferro	braço de ferro
branco-de-baleia	branco de baleia
braquicataléctico	braquicatalético
braquicatalecto	braquicataleto
braquióide	braquioide
braquipinacóide	braquipinacoide
bronquectásico	bronquetásico
bronquectático	bronquetático
bubonóide	bubonoide
cabeça-de-abóbora	cabeça de abóbora
cabeça-de-alho-chocho	cabeça de alho chocho
cabeça-de-asno	cabeça de asno
cabeça-de-avelã	cabeça de avelã
cabeça-de-burro	cabeça de burro
cabeça-de-carneiro	cabeça de carneiro
cabeça-de-cartaz	cabeça de cartaz
cabeça-de-casal	cabeça de casal
cabeça-de-cavalo	cabeça de cavalo
cabeça-de-lista	cabeça de lista
cabeça-de-motim	cabeça de motim
cabeça-de-pau	cabeça de pau
cabeça-de-ponte	cabeça de ponte
cabeça-de-porco	cabeça de porco
cabeça-de-secção	cabeça de secção
cabeça-de-série	cabeça de série
cabeça-de-tremoço	cabeça de tremoço
cabeça-de-turco	cabeça de turco
cabeça-de-vento	cabeça de vento
cabeça-no-ar	cabeça no ar
cabo-de-esquadra	cabo de esquadra
cabo-de-guerra	cabo de guerra
cacabóia	cacaboia
cacto	cato
cactóide	cactoide
caixa-de-ar	caixa de ar
caixa-de-música	caixa de música
caixa-de-óculos	caixa de óculos
caixa-de-ressonância	caixa de ressonância
caixa-de-rufo	caixa de rufo
caixa-dos-pirolitos	caixa dos pirolitos
calamóide	calamoide
calcóide	calcoide
calefacção	calefação
calefactor	calefator
calefactório	calefatório
câmara-de-ar	câmara de ar
caminho-de-ferro	caminho de ferro
camisa-de-força	camisa de força
camisa-de-forças	camisa de forças
camisa-de-onze-varas	camisa de onze varas
camisa-de-vénus	camisa de Vénus
camisa-do-pano	camisa do pano
cana-de-roca	cana de roca
canal-da-areia	canal da areia
cancróide	cancroide
canforóide	canforoide
canto-de-cisne	canto de cisne
canto-do-cisne	canto do cisne
capa-de-chuva	capa de chuva
capitão-de-bandeira	capitão de bandeira
capitão-de-corveta	capitão de corveta
capitão-de-fragata	capitão de fragata
capitão-de-mar-e-guerra	capitão de mar e guerra
capróico	caproico
caquecticamente	caqueticamente
caquéctico	caquético
cara-de-pau	cara de pau
carácter	caráter, carácter
caracterial	caracterial, caraterial
característica	característica, caraterística
caracteristicamente	caracteristicamente, carateristicamente
característico	característico, caraterístico
caracterização	caracterização, caraterização
caracterizador	caracterizador, caraterizador
caracterizadora	caracterizadora, caraterizadora
caracterizante	caracterizante, caraterizante
caracterizar	caracterizar, caraterizar
caracterizável	caracterizável, caraterizável
caracterológico	caracterológico, caraterológico
carcinóide	carcinoide
cardióide	cardioide
cardiopunctura	cardiopuntura, cardiopunctura
cardiorréctico	cardiorrético
carne-de-sol	carne de sol
carotenóide	carotenoide
carreira-de-tiro	carreira de tiro
carta-de-prego	carta de prego
cartão-de-visita	cartão de visita
casca-de-noz	casca de noz
catabaptismo	catabatismo
catabaptista	catabatista
catafiláctico	catafilático
cataléctico	catalético
catalecto	cataleto
catarréctico	catarrético
catenóide	catenoide
cavalo-de-batalha	cavalo de batalha
cavalo-de-frisa	cavalo de frisa
cavalo-do-cão	cavalo do cão
cefalóide	cefaloide
celulóide	celuloide
Cenozóico	Cenozoico
centro-de-mesa	centro de mesa
céptica	cética
cepticismo	ceticismo
céptico	cético
ceptrífero	cetrífero
ceptrígero	cetrígero
ceptro	cetro
ceratóide	ceratoide
cerebróide	cerebroide
ceróide	ceroide
cestóide	cestoide
céu-da-boca	céu da boca
chacóina	chacoina
chapéu-de-chuva	chapéu de chuva
chapéu-de-sol	chapéu de sol
chefe-de-fila	chefe de fila
chirimóia	chirimoia
ciamóide	ciamoide
cianóide	cianoide
ciatóide	ciatoide
ciclóide	cicloide
cicnóide	cicnoide
cilindróide	cilindroide
cinoréctico	cinorético
cióptico	ciótico
circunspecção	circunspeção
circunspeccionar	circunspecionar
circunspectamente	circunspectamente, circunspetamente
circunspecto	circunspecto, circunspeto
cirróide	cirroide
cirsóide	cirsoide
cissóide	cissoide
cisticercóide	cisticercoide
cistiocercóide	cistiocercoide
cistióide	cistioide
cistóide	cistoide
citofiláctico	citofilático
citóide	citoide
citopéctico	citopético
clarabóia	claraboia
clidorréctico	clidorrético
clinóide	clinoide
clinopinacóide	clinopinacoide
co-acusado	coacusado
co-administração	coadministração
co-administrador	coadministrador
co-administradora	coadministradora
co-administrar	coadministrar
co-aluno	coaluno
co-apóstolo	coapóstolo
co-arguida	coarguida
co-arguido	coarguido
co-arrendador	coarrendador
co-arrendamento	coarrendamento
co-arrendar	coarrendar
co-arrendatária	coarrendatária
co-arrendatário	coarrendatário
co-associado	coassociado
co-autor	coautor
co-autora	coautora
co-autoria	coautoria
co-credor	cocredor
co-credora	cocredora
co-criador	cocriador
co-criadora	cocriadora
co-delinquência	codelinquência
co-delinquente	codelinquente
co-delinquir	codelinquir
co-demandante	codemandante
co-demandista	codemandista
co-descobridor	codescobridor
co-detentor	codetentor
co-devedor	codevedor
co-devedora	codevedora
co-dialecto	codialeto
co-direcção	codireção
co-director	codiretor
co-directora	codiretora
co-dirigir	codirigir
co-dominância	codominância
co-dominante	codominante
co-donatário	codonatário
co-editar	coeditar
co-eleitor	coeleitor
co-eremita	coeremita
co-esposa	coesposa
co-esposo	coesposo
co-eternidade	coeternidade
co-eterno	coeterno
co-evangelista	coevangelista
co-fiador	cofiador
co-fiadora	cofiadora
co-financiado	cofinanciado
co-financiador	cofinanciador
co-financiadora	cofinanciadora
co-financiamento	cofinanciamento
co-financiar	cofinanciar
co-fundador	cofundador
co-gerência	cogerência
co-gerente	cogerente
co-gerir	cogerir
co-gestão	cogestão
co-igual	coigual
co-incineração	coincineração
co-incineradora	coincineradora
co-incinerar	coincinerar
co-inquilino	coinquilino
co-interessado	cointeressado
co-latitude	colatitude
co-legado	colegado
co-legatária	colegatária
co-legatário	colegatário
co-legislativo	colegislativo
co-leitor	coleitor
co-licitante	colicitante
co-litigação	colitigação
co-litigante	colitigante
co-litigar	colitigar
co-logaritmo	cologaritmo
co-mediador	comediador
co-obrigado	coobrigado
co-obrigar	coobrigar
co-ocorrência	coocorrência
co-ocorrente	coocorrente
co-ocupante	coocupante
co-opositor	coopositor
co-organizado	coorganizado
co-parceiro	coparceiro
co-participação	coparticipação
co-participante	coparticipante
co-participar	coparticipar
co-patrocinador	copatrocinador
co-piloto	copiloto
co-presidência	copresidência
co-presidente	copresidente
co-principado	coprincipado
co-príncipe	copríncipe
co-procurador	coprocurador
co-produção	coprodução
co-produtor	coprodutor
co-produtora	coprodutora
co-produzir	coproduzir
co-propriedade	copropriedade
co-proprietária	coproprietária
co-proprietário	coproprietário
co-protector	coprotetor
co-ré	corré
co-redactor	corredator
co-redenção	corredenção
co-redentor	corredentor
co-referência	correferência
co-referente	correferente
co-regência	corregência
co-regente	corregente
co-responsabilidade	corresponsabilidade
co-responsabilização	corresponsabilização
co-responsabilizar	corresponsabilizar
co-responsável	corresponsável
co-réu	corréu
co-secante	cossecante
co-seno	cosseno
co-signatária	cossignatária
co-signatário	cossignatário
co-tangente	cotangente
co-texto	cotexto
co-tutela	cotutela
co-tutor	cotutor
co-tutora	cotutora
co-utente	coutente
co-variante	covariante
co-vendedor	covendedor
co-vidente	covidente
coacção	coação
coactar	coatar
coáctil	coátil
coactivamente	coativamente
coactividade	coatividade
coactivo	coativo
coactor	coator
coactora	coatora
coanóide	coanoide
coarctação	coartação
coarctada	coartada
coarctar	coartar
coarctativo	coartativo
cofactor	cofator
cóia	coia
cóio	coio
colecção	coleção
coleccionação	colecionação
coleccionador	colecionador
coleccionadora	colecionadora
coleccionar	colecionar
coleccionável	colecionável
coleccionismo	colecionismo
coleccionista	colecionista
coleccionístico	colecionístico
colecta	coleta
colectânea	coletânea
colectâneo	coletâneo
colectar	coletar
colectário	coletário
colectável	coletável
colectício	coletício
colectivamente	coletivamente
colectividade	coletividade
colectivismo	coletivismo
colectivista	coletivista
colectivístico	coletivístico
colectivização	coletivização
colectivizar	coletivizar
colectivo	coletivo
colector	coletor
colectora	coletora
colectoria	coletoria
colete-de-forças	colete de forças
colóide	coloide
colopéctico	colopético
colorrectite	colorretite
combóia	comboia
comida-de-urso	comida de urso
comprotector	comprotetor
concepção	conceção
concepcional	concecional
concepcionário	concecionário
conceptaculífero	concetaculífero
conceptáculo	conceptáculo, concetáculo
conceptibilidade	conceptibilidade, concetibilidade
conceptismo	conceptismo, concetismo
conceptista	conceptista, concetista
conceptístico	conceptístico, concetístico
conceptiva	conceptiva, concetiva
conceptível	conceptível, concetível
conceptividade	concetividade
conceptivo	concetivo
conceptual	conceptual, concetual
conceptualismo	conceptualismo, concetualismo
conceptualista	conceptualista, concetualista
conceptualístico	conceptualístico, concetualístico
conceptualização	conceptualização, concetualização
conceptualizar	conceptualizar, concetualizar
conceptualmente	conceptualmente, concetualmente
conchóide	conchoide
concóide	concoide
condilóide	condiloide
condróide	condroide
conectividade	conectividade, conetividade
conectivo	conetivo, conectivo
conector	conector, conetor
confecção	confeção
confeccionador	confecionador
confeccionar	confecionar
confeccionável	confecionável
conjectânea	conjetânea
conjectura	conjetura
conjecturabilidade	conjeturabilidade
conjecturador	conjeturador
conjectural	conjetural
conjecturalmente	conjeturalmente
conjecturante	conjeturante
conjecturar	conjeturar
conjecturável	conjeturável
conjecturista	conjeturista
conóide	conoide
conquilióide	conquilioide
conspecção	conspeção
consumpção	consumpção, consunção
consumptibilidade	consumptibilidade, consuntibilidade
consumptível	consumptível, consuntível
consumptivo	consumptivo, consuntivo
consumptor	consumptor, consuntor
conto-da-carochinha	conto da carochinha
conto-do-vigário	conto do vigário
contra-documento	contradocumento
contra-édito	contraédito
contra-emboscada	contraemboscada
contra-emergentes	contraemergentes
contra-erva	contraerva
contra-escarpa	contraescarpa
contra-escota	contraescota
contra-escritura	contraescritura
contra-espionagem	contraespionagem
contra-estai	contraestai
contra-estais	contraestais
contra-estimulação	contraestimulação
contra-estimulação	contraestimulação
contra-estimulante	contraestimulante
contra-estimular	contraestimular
contra-estimulismo	contraestimulismo
contra-estimulista	contraestimulista
contra-estímulo	contraestímulo
contra-indicação	contraindicação
contra-indicação	contraindicação
contra-indicado	contraindicado
contra-indicar	contraindicar
contra-informação	contrainformação
contra-informar	contrainformar
contra-interpelação	contrainterpelação
contra-interrogatório	contrainterrogatório
contra-natura	contranatura
contra-ofensiva	contraofensiva
contra-oferta	contraoferta
contra-oitava	contraoitava
contra-ordem	contraordem
contra-ordenação	contraordenação
contra-ordenacional	contraordenacional
contra-ordenar	contraordenar
contra-rampa	contrarrampa
contra-rancho	contrarrancho
contra-rapante	contrarrapante
contra-rapantes	contrarrapantes
contra-reacção	contrarreação
contra-regra	contrarregra
contra-regulador	contrarregulador
contra-relógio	contrarrelógio
contra-reparo	contrarreparo
contra-réplica	contrarréplica
contra-repto	contrarrepto
